"Brand","Model","Reviews","Language"
"Samsung","Samsung Galaxy S21 FE","The battery, cameras, are great has all the functions of a flagship such as your older siblings the s20, the fluency of the screen to 128 hertz is great, however with the latest update I have noticed some lag at the time of opening the camera application, I hope to improve with future updates, and if or if it is necessary to use tempered glass because with the short time I have been using and emphasizing that I have taken care of it enough, however I already have several scratches and even in the glass of the part of the camera so yes or if tempered glass for screen and camera module!","en"
"Samsung","Samsung Galaxy S21 FE","I like it at all, the phone is good, it doesn't get too hot when using, it has Snapdragon processor, the camera is good, the temperature manageable. my device didn't come to me with the fault of the fake touches on the tactile so I appreciate it. They got confused by putting 8 GB of RAM when the coming one is 6 GB RAM","en"
"Samsung","Samsung Galaxy S21 FE","The whole beautiful phone I highly recommend","en"
"Samsung","Samsung Galaxy S21 FE","I bought 2 phone and the truth works great good hard camera the battery is fast is perfect","en"
"Samsung","Samsung Galaxy S21 FE","the cell phone box arrived open, it may have been checked in customs, at least that's what I want to think; all the accessories were there, so far everything goes great with the team. Let's hope that I don't present any problems past the 90 days that gives me Amazon. Rapidly in the shipment, although internally UPS I take a little time to deliver it to me. Thank you","en"
"Samsung","Samsung Galaxy S21 FE","If happy with the products chosen and received.","en"
"Samsung","Samsung Galaxy S21 FE","Take very good pictures","en"
"Samsung","Samsung Galaxy S21 FE","Excellent offer and excellent equipment. 100% recommended","en"
"Samsung","Samsung Galaxy S21 FE","This very nice cell phone I put 4 stars because in vibrating mode is not very strong","en"
"Samsung","Samsung Galaxy S21 FE","Better cell phone!","en"
"Samsung","Samsung Galaxy S21 FE","Good cell phone so far. Everything as expected.","en"
"Samsung","Samsung Galaxy S21 FE","So far I have not had faultst, I just have a month to buy it and I have loved everything .. Only that this version no longer has entry for the headphones or to connect it to the car and listen to music and everything is via Bluetooth","en"
"Samsung","Samsung Galaxy S21 FE","This is a very good phone facial recognition is very good as well as the fingerprint reader and the battery lasts me for a day or day imedio depending on my use","en"
"Samsung","Samsung Galaxy S21 FE","He won't let me in my samsung account and I can't open apps","en"
"Samsung","Samsung Galaxy S21 FE","I was nervous to be the first time I bought a cell in this way. Luckily it went well, I am happy with my cell phone, I have more than a week using it, so far everything excellent.","en"
"Samsung","Samsung Galaxy S21 FE","The cell phone works great. The only thing that worried me at first was a heat in the battery while I used it the first few days. Everything else is perfect. Intact without scratches. Excellent","en"
"Samsung","Samsung Galaxy S21 FE","I was just looking for a good phone and at a reasonable price. So far all right Thank you!","en"
"Samsung","Samsung Galaxy S21 FE","Very good experience. The equipment in excellent finishes Very good fluidity and speed in applications, good camera. Too bad the charger is not 25W, but it is not essential.","en"
"Samsung","Samsung Galaxy S21 FE","the phone is good as normal user the battery lasts me all day","en"
"Samsung","Samsung Galaxy S21 FE","Buy the phone and send it to Colombia by the CondorBox locker, everything was excellent, the bands are released and I work with CLARO COLOMBIA.","en"
"Samsung","Samsung Galaxy S21 FE","It arrived well, within the set time, the box is open, sure is normal that. Procedure....and the product...is according to what you wanted....are recommended....","en"
"Samsung","Samsung Galaxy S21 FE","Excellent product, compared to my S8 I feel a great renovation","en"
"Samsung","Samsung Galaxy S21 FE","I bought this phone to be able to play Call of Duty Mobile. I was tempted to buy another terminal, designed specifically for that purpose. But in the end I decided for Samsung by its style that it is quite more refined and because, on paper, its features were similar. A good chip and a good screen with high cup of soda. Unfortunately the phone has had some faults. At first it was software. Problems with Google Play, with discord and now with the reading of sim card. I must restart the phone so that the calling, messaging and Internet services work. It’s a shame. Besides the facial recognition and fingerprint reading software on screen is really bad. Finally, the connectivity with accessories from brands other than Samsung is quite bad. I have a Xiaomi wristband and the connection between the phone and the band and unstable. I must be opening the mifit application for you to download information constantly.","en"
"Samsung","Samsung Galaxy S21 FE","Very good device","en"
"Samsung","Samsung Galaxy S21 FE","Exheat quality","en"
"Samsung","Samsung Galaxy S21 FE","I do not like that there arrived incomplete Handset + Cling is missing","en"
"Samsung","Samsung Galaxy S21 FE","works perfect very good purchase","en"
"Samsung","Samsung Galaxy S21 FE","All right.","en"
"Samsung","Samsung Galaxy S21 FE","Very good phone.","en"
"Samsung","Samsung Galaxy S21 FE","Excellent product","en"
"Samsung","Samsung Galaxy S21 FE","The battery lasts only about 8 hours. I had it only one day, and the next day I sent it back. The problem is that the refund takes up to a month to arrive","en"
"Samsung","Samsung Galaxy S21 FE","Problems with the load connector","en"
"Samsung","Samsung Galaxy S21 FE","The phone battery quickly wore out even when it wasn't using apps. It was probably defective, but to be a ""new"" phone it's not acceptable.","en"
"Samsung","Samsung Galaxy S21 FE","It only worked 30 days. Diagnosis Samgsung Authorized Center - Damaged Logic Card. ERROR OF AFRICA. Now I must pay to return it and they can solve a problem that is not mine.","en"
"Samsung","Samsung Galaxy S21 FE","I get the cell phone, but it takes him to high school and they tell me he's not unscrambled, what can I do????????????? Tell me what he bought?","en"
"Samsung","Samsung Galaxy S21 FE","They reduced the price a couple of days later to the purchase I made. I should get a bonus at least.","en"
"Samsung","Samsung Galaxy S21 FE","One week after using the phone, the battery does not charge. I will proceed to return :(","en"
"Samsung","Samsung Galaxy S21 FE","An ideal size and new without scratches or damage","en"
"Samsung","Samsung Galaxy S21 FE","They say it's unlocked from factory and it's not true.","en"
"Samsung","Samsung Galaxy S21 FE","Not working with metro pcs","en"
"Samsung","Samsung Galaxy S21 FE","When it arrived very good, within 15 days of its use it went out and it didn't work anymore I already returned it but I'm very disappointed","en"
"Samsung","Samsung Galaxy S21 FE","It doesn't work. I don't recommend it.","en"
"Samsung","Samsung Galaxy S21 FE","It's no use. It's fast and slow.","en"
"Samsung","Samsung Galaxy S21 FE","I do not like the thickness of the mobile phone, to be latest and high-end, very thick. (Same thickness of the mobile phones in the last 4 years) I did not come headphones, and in the description indicates that they would come hands-free. Something slow in certain apps. Fingerprint reader very well. Easy recognition very well. Battery life similar to that of Galaxy Note 8 (The one I have used for almost 4 years) I will not buy Samsung again, I will try Apple.","en"
"Samsung","Samsung Galaxy S21 FE","I don't recommend you don't spend your money on this crap.","en"
"Samsung","Samsung Galaxy S21 FE","I love it I get very well as new no scratch sign or nothing The only thing I missed was the connector only the cable came to me","en"
"Samsung","Samsung Galaxy S21 FE","I liked it, the bad thing was that I saw him later at a cheaper $80 store...","en"
"Samsung","Samsung Galaxy S21 FE","It's pretty good, I arrived in perfect condition, so far it works great, it's pretty definite and it comes well packed","en"
"Samsung","Samsung Galaxy S21 FE","My wife loved this because her previous phone was damaged, she used it a lot so she was looking for a phone that had good battery and lots of space. This one turned out to be perfect for her.","en"
"Samsung","Samsung Galaxy S21 FE","It's good the phone what owes me are the photos sometimes don't go well from there all fluid although it lacks a certain application as an example to be able to record the conversation","en"
"Samsung","Samsung Galaxy S21 FE","Good fact, beautiful details, its function under water is very useful.Very fast I have not frozen even once in 3 weeks of recommended use.","en"
"Samsung","Samsung Galaxy S21 FE","The phone is good but before the month the charging system was damaged and instead of changing the whole phone... they changed only the charging system... I think that if something is not working well. They should change it for a new one.","en"
"Samsung","Samsung Galaxy S21 FE","I'm very happy with my new samsung S20 FE 5G but there's something I didn't find in the box where I came and it's very important to me: THE GUARANTEE.","en"
"Samsung","Samsung Galaxy S21 FE","The battery life with the just reaches 1 day","en"
"Samsung","Samsung Galaxy S21 FE","I have been using it for more than two weeks and I have no problem at all. It came from an S7 Edge and the jump is incredible, the battery lasts up to 10 hours of screen with my normal use, the screen fluidity in the 120 Hz is noticeable and makes it generally feel much faster the entire interface and the use of applications.For me it is no problem that the back part is made of plastic as it seems to me that it still feels very good at hand and does not lose the look of premium cell phone, plus it is more resistant than the glass to falls.It has unlambric charge, reversible charge and a 15W fast load charger, which could be included in the box already for the price, but it is not too dramatic.The cameras are very well in definition and quality and in general is a large phone for daily use. Recommended.","en"
"Samsung","Samsung Galaxy S21 FE","Almost 2 months of using it works perfect, meeting all the standards of a cell phone in this range. The only but that would give it would be the weight that makes it a little uncomfortable, but the battery will last me between an entire day of continuous use to 2 days of little use.Pd: I bought you a 500G SD and it works perfect.","en"
"Samsung","Samsung Galaxy S21 FE","*Review EditedAfter several days of use I can bring you a better reviewStatic Apart:I love the design of the mobile phone, it feels comfortable and looks niceThe screen Super AMOLED with 120Hz is the best you have seen, it is the best you have seen, it looks every color and the fluency is exceptionalThe material feels plastic but I buy a case, although I would not have bothered you all the same way since it is comfortable but for sure I have the case, I recommend you to put a mica because by accident a coin gave you a slight scratch to the screenBattery:The subject matter of battery, many users comment that it is finished quickly when the battery can last all the day even with the active 120hz you only need to update the software, the mobile makes the rest of learning your usage patterns and so to use the battery better so you don't have to worry, you can make your own configurations to give you several nuances to use of the battery, 4500mah is enough for your day.","en"
"Samsung","Samsung Galaxy S21 FE","I have practically a week with the team and I do not regret anything, I come from a galaxy s8+ and the jump is very good, I wanted a s20+ but after so many analysis videos that I saw I decided for this s20 faith since it does not ask anything for the plus, only the subject that the back part is made of plastic but let us be honest the majority will occupy it with cover so you will be little in contact with that part. I am going in between parts: it has: wireless charge, reversible charge, mexico, mexico, , it is only the subject that the back part is made of plastic but let us be honest the majority will occupy it with cover so you will be in contact with that part. I am going in the following parts:It has: wireless load, reversible charge, mexico 865, waterproof, water resistant and dust, 6 of ram, 128 of storage, rate of soft 120, screen Amoled, battery 4500 mha, battery 4500 mha, Charger 4500 mha, Charger 4500 mha, but 15w I recommend you to you to buy one of 25w when you buy one of 25w when you you ask when you ask your order to have your order to have a 25w when you if you you ask you if you need to have to have a super fast charge for you super fast charge super fast charge, since you you charge super fast charge, since you can you can super fast charge, since that you can you can you can you can you can charge, it is no fast charge, that you can no fast charge, it is, it is no fast charge, it is what you is what you is, it is what you is no fast charge, it is the time you is the time you is the phone, it is no fast, the time, the time, the time, the time, the time, the entry, the entry no fast, the entry no fast, the entry no fast because that is what is what is what is what is what is the time you is the entry is the entry is the entry any time you is the entry is the entry, the entry, the entry, the entry, the entry no time any time you is the entry is the entry is the entry, the entry, the entry, the entry, the entry is the entry is the entry the entry is the entry is the entry is the entry is the entry is the entry","en"
"Samsung","Samsung Galaxy S21 FE","First of all you should check which is the seller because for this phone there are like 5 or more suppliers, in the picture the color blue appears but to me I get a pink color, the truth does not bother me but if it is a point to consider.The functionality is good, the camera is also quite good, I think that in general it meets the expectations except for the battery, the battery lasts little in reality, looking on the internet apparently this is normal, not only in this Samsung S20 Fe but in other models of the same Samsung, it gives you approx 6 to 7 hours of active screen with the HZs in 60, for 1 day it reaches well but I think that we all expect more being this a model 2020","en"
"Samsung","Samsung Galaxy S21 FE","I get the order relatively fast in less than a week, all well so far I hope not to find any fault and return it, until right now it goes well if it is new that seems (come in your box) , finally all well, the only problem is the battery does not last home anything , in first place it takes almost 2 hours to charge to 100% as soon as you turn the battery on it starts to collapse and that I discourage very much, I had many expectations of this cell phone, the truth the battery if it is an aspect of great relevance to me","en"
"Samsung","Samsung Galaxy S21 FE","The bad thing is that it's not so fast in response. Very nice camera capture imagesIf I recommend it","en"
"Samsung","Samsung Galaxy S21 FE","Just buy it and the phone arrived in good condition and according to the characteristics mentioned in the publication, try with two different sims which were Telcel and AT&T and worked without problems the only problem is that the charger came from the European version but with an adapter there is no problem and respects its fast load.","en"
"Samsung","Samsung Galaxy S21 FE","The media could not be loaded. The phone came super fast and I bought it for an excellent price $13.500 plus or less. The screen is very good and it does not ask anything to the other models s20. I have an answer to the screen the only thing that has happened to me is that a couple of times after unlocking it does not recognize my gestures or when I touch the screen in some parts, I do not know why. Out of that I work wonderfully the answer so much that COD mobile game. The sound is very good because it has a pair of louds with stereo sound that makes you have a great experience when consuming multimedia content. The security methods work well, nothing from the other world but well. Out of that I still prefer the physical fingerprint reader that has integrated but it takes a couple of seconds to respond. The facial unlocking is good but it could be better. The cameras are very good and you can record to 60 fps in 4k. The security methods work well, nothing from the other world but well well. I still do not have stabilization in this setting but for a static take it goes great. The front camera is very good and recognizes and recognizes the face recognizes to know the face to know if you takes a couple to know if you need to know if you need to know if you have to know if you have to expand you have to expand you have to expand the take full use the take you to expand the take you need to expand the take you to expand the take the take you take you take you take you take you take the take the take the take the take take take take take it in case you take take take take take take take take take it in case you make the take it you take take take take take take take take take it you take you if you if you make the case you make the case you make the case you I am you make the case you make you make you make you make you make you make you make you make you make the case you make you make you make you make you make you make you make the case you make you make you make you make you make you make you make you make you make you make you make you make you make you make the case you make the case you make you make you make you make you make you make the picture you make the picture you make the picture you make the picture you make the picture you make the picture you make the picture you make the picture you make","en"
"Samsung","Samsung Galaxy S21 FE","The phone came super fast and I bought it for an excellent price $13.500 plus or less. The screen is very good and it does not ask anything to the other models s20. As much to the screen the only thing that has happened to me is that a couple of times after unlocking it it does not recognize my gestures or when I touch the screen in some parts, I do not know why why. Out of that I work wonderfully the answer so much that game COD mobile game. The sound is very good because it has a couple of louds with stereo sound that make you have a great experience when consuming multimedia content. The security methods work well, nothing from the other world but well. I still prefer the physical fingerprint reader that the one that has integrated but it takes a couple of seconds to respond. The sound is very good because it has a couple of louds with stereo sound that make you have a great experience when you consume multimedia content, you can record 60 fps in 4k, in this configuration there is no stabilization but for a static take it goes great. The front camera is very good and recognizes the face to know if you have to expand the take you need to expand the take it, the facial take it in case you take it, but you should be good, but it could be good, I could be better work, I could be better, I can be better, the camera you can be better you should be better the camera I can be better, the cameras, the cameras, the cameras, the cameras I can you can be better you can be better I can use it is the cameras, the cameras, the cameras, the cameras, I am very good, the cameras I am very good, the cameras I am very good, the cameras I am very good or you can you can use, I can you can you can you can you can use, I am the cameras, I am very good, I am very good, the cameras, I am very good you can you can you can you can you can you can you can you can you can I am the cameras, I am the cameras, I am very good, I am the cameras, the cameras, I am, I am very good, I am the cameras, I am, I am the cameras, I am the cameras, I am the cameras, I am the cameras I am the cameras I am very good, I am the cameras I am very good, I am very good, I am","en"
"Samsung","Samsung Galaxy S21 FE","Yes, this equipment has the Snapdragon 865 processor and 5G, I asked Amazon Mexico directly and comes with a 15W charger inside the box. I asked for the lavender color and although a sector complained that the lid is plastic not even noticed, to the touch it feels of a very good and semi premium material that looks excellent and the lavender color looks beautiful. Now speaking of performance, it is very powerful. It runs heavy games with a fluidity that amazes, I have not had any problem of overheating and the few times that it increased its temperature, it dropped very fast. The battery, depending on the use you give it and the fluidity that you have activated on the screen (120 hz or 60hz), can vary between 7 and up to 10 hours of screen, in my case it is enough to arrive at the end of the day (I always have on the 120 Hz and even the Bluetooth and the battery does not drain fast). The rear camera is very good for photo and video, although the front camera for selfies could be better, but I do not complain much as it does an acceptable job.","en"
"Samsung","Samsung Galaxy S21 FE","It's got the Snapdragon processor, it's 5g, it came in with cable and charger.","en"
"Samsung","Samsung Galaxy S21 FE","Without negative details, I am satisfied with the purchase because if you have the snapdragon processor, I had no problem with the network provider","en"
"Samsung","Samsung Galaxy S21 FE","The battery is pathetic. The phone does arrive new and with the battery status at 100, it's just that the battery handling of the phone itself is ridiculously bad. If autonomy is not a problem for you, buy it. If you can't be charging it every 5 hours, find another option.","en"
"Samsung","Samsung Galaxy S21 FE","It is a good option ahun in 2022. As this model has the Snapdragon 865 processor therefore supports 5G. One of the things that most analyzed was the quality of the cameras and although they are of 12MPx the quality is very superior than those of 48MPx, analyze this in depth and I can say that it is worth it. It has unlambric load and is submersible to the water for 30 min max to a prof of 1.5mts. Tamien brings the option of unlocking by dijital footprint which works well dry, while the unlocking by facial recognition is very fast. The audio seems very good to me but not because it says q is stereo if it only counts with 1 hole of the horn... The only drawback is that it brings Gorilla Glass 3 so that I recommend you q you put a screen protector to minimize the one that breaks in a fall. I buy it in April 2022 by 10,100 pesos Mx.","en"
"Samsung","Samsung Galaxy S21 FE","An excellent phone. I arrive the one I asked for, before the scheduled delivery date. Galaxy S20 FE It is the 5G version although in my region there is no 5G, with snapdragon, and it works perfectly with the Telcel chip in Mexico. It comes in its normal sealed box, its USB cable and charger, and brings its pinchito, but it does not bring cover. I already have a week using it and without problem, what you notice is that the battery consumption is more than the previous one that had the Galaxy A71, and what strange is that it does not bring input for hearing aid 3.5, now I will have to buy an adapter to record the videos with flap microphone. Its cost was 11999 Mexican pesos and had the option to pay with card months without interest.","en"
"Samsung","Samsung Galaxy S21 FE","I came up with 15% battery, in what was set up I stayed at 3%, I charge it at 100%, after 1 hour of just using instagram I stay at 65% only using instagram! I can't imagine using games or apps","en"
"Samsung","Samsung Galaxy S21 FE","My last cell phone was a Xiaomi, with the same 6GB and 128GB storage features, only that the Snapdragon of this samsung is 865, and the truth is I don’t feel the substantial change in performance, it feels just as fast. I can say that I don’t feel that this Samsung is of better quality than a Xiaomi with the same features. Another thing is the camera, the selfies of my other cell had 20MP of the front camera and this is 32MP, I made the comparison of the shots and I liked it more as they went out in my Xiaomi. What I don’t discuss with this cell is the back camera, it’s good, but the phone gets very hot when using the camera. To finish, I feel that the battery doesn’t last long nor because I activated the energy saving mode and I didn’t use cell to play it, I don’t have any game in my cell. And for the price, the truth was bought me another xiaomi with better performance, but I wanted to try the samsung for its cameras and the truth is not worth the camera. I didn’t use it’s to play, I didn’t have any game to play, I didn’t have any game game in my cellu’t have any game. I didn’t have a cheap but in my cellu’s voice I said in me.","en"
"Samsung","Samsung Galaxy S21 FE","I am frustrated not being able to activate the double sim. I have other mobiles with double sim. And I had never ""broken"" my head trying to solve this problem. Still not able to solve it. Otherwise totally satisfied. I hope someone can help me with some secret or trick to solve this problem.","en"
"Samsung","Samsung Galaxy S21 FE","I got super fast, even though it was brought from the United States, all well sealed, if I got it with the Snapdragon 865 processor which is the 5GSuper version recommended","en"
"Samsung","Samsung Galaxy S21 FE","5 days ago I got my Samsung Galaxy S20 Fe 5G Cloud Navy. I was impressed as I arrived earlier than expected. I arrived the team in good condition and totally sealed, with its charger and its cable. I decided to buy this product released since as I understand it comes with the version of Snapdragon. Coming from a Huawei cell phone (and not having access to Google applications) I chose to buy a Samsung in such a way that I had already had Galaxy S3 several years ago. I am fascinated with its screens amoled (samsan characteristic) its quality of image and video, without forgetting its fluidity since it has 120hz (adjustable to 60hz). I find myself satisfied with the purchase, however, the only ""but"" I put it on is... I have read other comments that speak of a ""good performance"" and sincerely by working schedule I have given you a basic use, visits to spontaneous social networks during the day. Being already 5 pm I have less than 55% of battery last taking into account that I almost didn't use it on working time. My experience with Samsung's always his battery is bad and I have done and I have to know how much of it.","en"
"Samsung","Samsung Galaxy S21 FE","I have been using it for about two weeks and I love it! I am not from playing many video games so the Exynos processor is not a problem for me. It arrived in good condition and works excellent. 100% recommended","en"
"Samsung","Samsung Galaxy S21 FE","The cell phone would not really disappoint, fulfills all your expectations is very powerful and efficient, it feels the power of its processor snapdragon 865 and the efficiency of the battery is formidable it lasts all 1 working day of 8 hours without any problem you arrive to your home easily with the 30 to 35% of battery with a frequent use of the device during the day. it allows you to jump from application to application quickly and navigate them without which the device is encouraged at any time, it warms up very little except for the games there tends to increase considerably its temperature but it is not in an exaggerated way. The cameras are excellent and count with a resolution and interpretation of colors very balanced and the night mode is a wonder the photos in very dark rooms takes them out as clear as if it was day. But as I said the mobile phone does not disappoint what is already the state in which they send it, since you have checked the cell phone box you do not realize that you do not protect from movements or strokes to the device box that comes in and totally loose.","en"
"Samsung","Samsung Galaxy S21 FE","Samsung is a guarantee for cell phones.","en"
"Samsung","Samsung Galaxy S21 FE","Unfortunately the phone comes blocked by AT&T, it is not unlocked from factory, even when I tried to unlock it on the AT&T portal, I get a message that has plan and has not been paid.The seller attended me and although I sent him images and data did not solve the problem, he was attentive and kind, he offered to return it for refund. I did not return it because although it does not update android nor UI for blocking, everything else works well, it is very good equipment.","en"
"Samsung","Samsung Galaxy S21 FE","I come from an S8 and I was looking to upgrade, opt for this model because it comes with snapdragon processor and 5g compatibility, since in Mexico in official stores only distribute version 4g, in addition to the possibility of memory expansion by means of micro SD has excellent performance, it is very fast and with excellent touch response, the quality of the cameras does not ask anything from the latest models, the battery gives me all day despite spending good time between different applications, excellent purchase.","en"
"Samsung","Samsung Galaxy S21 FE","It is very good phone, if the correct version arrived (version 5G with snapdragon processor) but clearly it was used because the number of IMEI SV was not in 00 or 01, it was in 20. (This means that it is not new). Also, it came in a box without the original seals. Also, the battery only lasts 6 hours, if you do not mind carrying a power bank with you everywhere, it is a good purchase.","en"
"Samsung","Samsung Galaxy S21 FE","I opted for this 5G model to replace an S8+, the size is the same and works well, but I chose the S20 and not the S21 because I had seen that this was the latest version with memory expansion using micro SD card, and it turns out that it no longer has expansion, only the SIM card can be added.","en"
"Samsung","Samsung Galaxy S21 FE","Cell phone's the best in the market.","en"
"Samsung","Samsung Galaxy S21 FE","The product arrives closed, completely new and in my case, just as I asked. It took very little time for the shipment although for the price, I hoped that the finishing of the cell phone would feel better, but it is more a matter of tastes.","en"
"Samsung","Samsung Galaxy S21 FE","I've been a convinced user of SAMSUNG for many years, and I've never had one with such a bad phone reception.","en"
"Samsung","Samsung Galaxy S21 FE","I brought in a Galaxy S8 and I feel like I got better with this Galaxy when it comes to the pictures I said were like a professional camera. I don't think of anything.","en"
"Samsung","Samsung Galaxy S21 FE","Very good.","en"
"Samsung","Samsung Galaxy S21 FE","This version has a functional camera that fulfills.The battery doesn't give problems in the day to day.The screen has excellent image resolution and doesn't lock.The signal of the bluetooth is not lost, I use it with a smartwatch and bluetooth audiophones at the same time and I don't suffer disconnections at any time.I haven't had problems with the fingerprint sensor on the screen.It has fast unlambric charge and I ah pulled out of trouble more than once.It's a bit robust when you put a cover on it, it's the only stick that I find it.","en"
"Samsung","Samsung Galaxy S21 FE","Quality and price","en"
"Samsung","Samsung Galaxy S21 FE","I liked what snapdragon processor brings, the materials and above all the price, what I did not like was what in the publication said 8 gb in Ram and brings 6 Gb. Otherwise it was fine even though I came with transparent plastic seals and not Samsumg and that was strange to me, although it was sold and sent by Amazon from the United States.","en"
"Samsung","Samsung Galaxy S21 FE","My first Samsung cell phone and all great, the charge is not so fast but enough for me, the games how COD and PUBG Mobile runs them to me in ultra HD, gives me 6 hours of continuous play in 120Hz, the camera is very good, as I heard it is the same as the Samsung galaxy s20 Ultra, it does not heat as much as I had heard even being Snapdragon.","en"
"Samsung","Samsung Galaxy S21 FE","It has the compatible slot for dual sim but does not allow to have dual","en"
"Samsung","Samsung Galaxy S21 FE","It would be excellent if it were compatible with Telcel 5G network","en"
"Samsung","Samsung Galaxy S21 FE","the design is somewhat dull, but it is what you can expect for a phone of ""high range"" for this price, that if the power and some features are high range but some sections were affected to make the price lower.note: I buy it import by Amazon us and I am happy with the handling of the customs by dhl and Amazon, although OJO before buying review the requirements of its customs","en"
