"Model","Reviews"
"iPhone 11 Pro Max","I have this 4 stars because although the phone was on very good condition. When unboxing it comes with a very sticky protective sheet on top of the screen. Upon removing the sheet unlike apple
Leaves a sticky film covering the entire screen. Water or little soap alone was not able to remove this film.
My husband had to use an adhesive remover a few time to completely remove the film."
"iPhone 11 Pro Max","When I try to swipe it barely can swipe I try to purchase on Amazon to confirm my purchase I have to swipe, it won’t allow me to swipe and the letters don’t work properly on key board"
"iPhone 11 Pro Max","I love everything about this phone. Bought it as a gift and they love it. Great condition and great price. Deffinately recommend this phone and this seller"
"iPhone 11 Pro Max","Phone only lasted 6 months."
"iPhone 11 Pro Max","Phone working pretty good"
"iPhone 11 Pro Max","They liked the phone"
"iPhone 11 Pro Max","Nice size"
"iPhone 11 Pro Max","It seems like a brand new phone to me because I can’t tell the difference."
"iPhone 11 Pro Max","The phone itself is very high quality. The graphics are amazing, the apps load quickly, the camera is very nice. The phone is pretty heavy though. I haven’t noticed that with newer iPhone models so if the weight of the phone might be an issue for you, I wouldn’t recommend this one. The product isn’t damaged at all and it came with a SIM card remover tool and a charger and charger box. The shipping for me was difficult though. They kept on pushing forward the delivery date up until I had called and went off on them, then it has gotten to my house on time."
"iPhone 11 Pro Max","When it eventually arrived I was pleasantly surprised how good it looked. I have had a couple of instances where the touchscreen hasn’t registered on the first/second touch but other than that it has worked well so far."
"iPhone 11 Pro Max","I'm so happy! At first I was skeptical, because I read some negative reviews! I ended up buying the iphone 11 pro max silver 64gb unlocked and I received what i ordered!! I had an iphone 7 plus, and I bought this with my own money. I'm so happy. I love the camera, good screen with NO scratches, and it's so pretty! Will be recommending to my friends and family! although the phone has 84% battery health, but i honestly don't care. mine old phone was in the 70's lol. :)))))))))))))"
"iPhone 11 Pro Max","Good"
"iPhone 11 Pro Max","Good price and works perfect! The only reason I had purchased an Android over a month ago was I didn’t want to pay for a bigger iPhone 11. So after a month of working on that droid, I found this iPhone 11 Pro Max at a reasonable price. Always will buy renewed iPhones."
"iPhone 11 Pro Max","VERY HAPPY FIND OF THIS PHONE!!
was skeptical about buying an used phone because I always buy the refurbished ones directly from apple but now it was not the case because inflation and prices going up.

Had do give my newest ip 13 and go back to this one due to bad battery and that I didnt like the feel of the ip13 and this really gave my hopes back.

Avant Solutions was my seller and it had all original parts, not icloud locked and, the battery health was at 92% !!!! The listing for these phones guarantees at least more than 80% but this was much better.

As any used phone, it should have knicks and dents and mine only had a small scratch on an edge (presumably because previous owner drop it without a case on) and it came with a tempered glass on!!!!"
"iPhone 11 Pro Max","Everything was just as expected! The product even came with a screen protector and was just as described. Great job!"
"iPhone 11 Pro Max","Personal use. I like everything for now"
"iPhone 11 Pro Max","Dropped out of my pocket when I sat in a chair (2’ off the ground) and the middle of my screen cracked."
"iPhone 11 Pro Max","phone came in 3 days, perfect condition very satisfied."
"iPhone 11 Pro Max","Didn't expect it to get stuck every few days during important calls or using apps. The screen freezes and occasionally closed out of an app while in use without saving changes or progress. Hardware was in great condition, but using this phone made it difficult to complete tasks, access docs/drives to share, access photos and at the very least mute or increase volume during calls."
"iPhone 11 Pro Max","Personal"
"iPhone 11 Pro Max","Phone was ok but the screen is faulty. Phone fell with screen protector AND a phone case on. Somehow only the phone screen broke while the screen protector was intact"
"iPhone 11 Pro Max","I bought mine from chubbiestech and they did good. The phone had no scratches fully functional and battery health was 87% and it’s pretty good. Other than that it was perfect"
"iPhone 11 Pro Max","i got the 11 pro max ( obvi lol ) , silver , 256 gb . i was a tiny bit nervous due to some of the negative reviews but i jus got this phone and initially it’s fine to me . it came unlocked , no previous icloud was linked to it . all buttons work fine , camera is fine , face id is fine , volume / speakers are fine . battery capacity is at 87% which is fine cus i currently have an xr , 64 gb , 73% capacity .. so a bit of an upgrade for me . it’s so new to me ( like an hour old ) so i haven’t set it up yet but like i said it came unlocked and the imei number ( or whatever lol ) says “ no sim restrictions “ so i believe it’s unlocked and i don’t believe i’ll have any problems setting it up. like i said i literally jus got the phone but so far i’m really happy & relieved & inlove .. and it came w a bit of mild scratching only on the sides of the phone but i’ll have a case on it anyways , no screen scratches or scratches on the back or on neither cameras . hopefully it lasts a couple years or so and it also has a 90 day return / replacement warranty ."
"iPhone 11 Pro Max","Lo mejor es el precio"
"iPhone 11 Pro Max","Muy bueno"
"iPhone 11 Pro Max","The phone is good but a red dot came on my camera."
"iPhone 11 Pro Max","My only MAJOR complaint is that the speaker is a little damaged. Music sounds staticky and so do phone calls from both ends. But the face recognition, battery life and camera all looks brand new. So you get what you pay for with this one. All in all I definitely don’t regret buying a renewed phone."
"iPhone 11 Pro Max","This is a hit and Miss. You can either get a good condition Version or a totally scratched up phone that was previously owend by a cat."
"iPhone 11 Pro Max","This is amazing I’m so happy I ordered from them my phone came so fast and it looked brand new no scratches or anything!! Camera is so clear as well!"
"iPhone 11 Pro Max","Like in the title this is an amazing phone that works perfectly except for the speaker i mentioned. To clarify the speakers work but the bottom speaker seems to have some water damage because it makes slight static noises and is muffled a bit. Couldn’t find a fix for this but it’s a minor problem compared to everything else. So far, i would recommend paying for the renewed premium option and i’ll update this review if anything major happens."
"iPhone 11 Pro Max","Very satisfied with the purchase got it today phone was spanking new !!"
"iPhone 11 Pro Max","You would think spending this much for a used product it would at least be functional, but not the case for this guy. Phone has 82% battery and dropped 50% life sitting in my pocket for 2.5 hours meaning I have 5 hours of max life when not using. Have my appointment to get the battery replaced as I would rather pay $69 for a new one than go through the hassle of a return and repurchase. Based on other reviews it looks like you are rolling the dice in batteries period. Would recommend adding $69 out of pocket for anyone using these refurbished phones. Outside of battery, everything else seems top notch so far. Bought my wife a refurbished from another vendor that came with a new battery and will be going with them next time for my own.

Update - seller stated that in the end I purchased a refurbished (so essentially buyer beware in their own words!) and could send it in for a replacement, but cannot guarantee it will be better as it is another refurbish. Still spending the $69 to simply fix the issue with a new battery and would encourage any one purchasing from them to add that to your true total cost. Next time will buy directly from apple with a legit guarantee as my cost to go with this seller is only $100 cheaper in total spent, but now with a clearly lower quality refurbish and customer support team. Not worth the time and hassle and lesson learned."
"iPhone 11 Pro Max","Battery health was 100% when i got it. This kicks my 2020 SE’s ass for sure"
"iPhone 11 Pro Max","Phone in very good condition. Minor scratch on screen but nothing to worry about."
"iPhone 11 Pro Max","So for my birthday I was gifted the iPhone 11 which was really nice at first but 3 days in it started to crack. And the longer the day went on the more the cracks started to spread.
So had to return that phone which made me very skeptical of getting the iPhone 11 Pro Max instead.
I had literally no problems with setting it up or transferring everything, which was such a relief.

Have had this phone for a few months and so far no cracks, no scrapes, camera works beautiful, and I can actually hear people when I’m on the phone! The iPhone 11 had TERRIBLE audio and I always had to turn on speaker for calls yet could barely hear.

I don’t normally do reviews but this surprised me with how well it’s going. 🙌🏻🥹🥹"
"iPhone 11 Pro Max","The phone has issues with the earpiece unless I use hands free or EarPods I have to use the speaker I like the memory space"
"iPhone 11 Pro Max","Pristine condition with 100% battery health, thanks Amazon for another great iPhone."
"iPhone 11 Pro Max","i gave 4 stars cuz sometimes the phone glitches out and i can’t touch the screen but other than that everything is good. my battery health was at 85 when i got it (may 24) and it’s still at 85."
"iPhone 11 Pro Max","Phone shipped exactly like the description. Works perfectly and just what I wanted."
"iPhone 11 Pro Max","My IPhone 11 Pro Max arrived much earlier than the delivery date, the phone looks like new just a tiny scratch in the screen but you don’t eve notice, it come with a different charger but works fine and charge fast, the battery life was 82%, no that bad for a refurbished phone. so far the phone works very well let's see what happens later. But I will definitely buy again from the seller Refoned!"
"iPhone 11 Pro Max","If you’re like me, you don’t want to get wrapped up in a contract for a brand new phone, but you still want to feel like you’re not far behind the newest iPhone. Well, this is it. I upgraded from the Xr and it’s a night and day difference. The iPhone 11 Pro Max should be the go to for anyone looking to stay in the ballpark of $500 for a phone. I feel as though this phone will still still be relevant for a while."
"iPhone 11 Pro Max","To be honest I can't really rate the product due to the fact that I haven't had the phone for a month. So far so good ."
"iPhone 11 Pro Max","After looking at my options this phone and Amazon’s warranty seemed like my best option. It is like new and a breeze to set up. My only complaint was it came with a vinyl screen protector that was poorly installed. It was peeling off when I got it do just removed it. Replaced my failing 8+ and is a nice upgrade!"
"iPhone 11 Pro Max","I was totally amazed by this phone. it came with 98% battery health and the phone was spotless. Besides the box and the refurbish notes that come with it, you would think this phone was brand new."
"iPhone 11 Pro Max","I RARELY leave any reviews but I'm DISAPPOINTED because I paid the extra money for the ""excellent condition"" to avoid things like this. (sorry for the pictures. hard to capture the dents on such a shiny surface, tried to include flash and no flash pics and this might be a little long)

Straight out the box, there is not only a scratch on one of the back cameras that shows up through pictures, (I checked) and another one on the surrounding glass of all three cameras on the back but also the front-facing camera has little DENTS/DIVETS. The ENTIRE device has these little dents all throughout the phone. Many of them are scattered over the screen, a cluster of them on the back (that I forgot to take a picture of), HOWEVER, the sides are the worst. It is pretty noticeable, even from a foot or 12 inches away as the description described. I'm not even sure what could cause that because on the sides it mostly looks internal. It is a different color entirely from the color of the phone.

ALSO, as you can see from the pictures it is also like DIRTY? There is some weird white substance in the grooves/seems on all four sides of the ENTIRE phone. The white substance was neither in the amazon box, the box the phone came in, nor in the sleeve that the phone was placed in so that means it was packaged with whatever the white stuff is and sent.

To top it off, the battery capacity is only 84% PERCENT. This is not in ""excellent condition.""

Pretty disappointed because other customers seemed to have a pretty good experience. Going to have to return which annoys me because I rarely do returns as well and try to avoid it. :("
"iPhone 11 Pro Max","I WAS AMAZED HOW NEW THIS PHONE LOOKED NOT ONE SCRATCH I WILL SAY THERE IS 1 tiny tiny chip of paint missing by the camera lens but it’s super tiny it’s more lik a dot not noticeable at all other than that not one mark I transferred my service over with no problem everything works no glitches or problems AT ALL AND AT FIRST I BOUGHT THIS SAME IPHONE FROM A DIFFERENT SELLER ON HERE FOR ALMOST $200 MORE AND WAS SENT A SUPER SMALL IPHONE SO I SENT IT BCK AND FOUND THIS ONE SO IM GLAD I HAD THAT HAPPEN CUZ THIS ONE WORKS AMAZING AND I PAID $200 LESS AND IVE SEARCHED ON HERE THIS IS THE CHEAPEST IPHONE 11 PRO MAX ON AMAZON SO IF UR LOOKING FOR THIS IPHONE UNLOCKED THIS IS THE ONE TO BUY AND 1 MORE THING I HAVE METRO BY T-MOBILE AND IT HOOKED UP WITH NO PROBLEMS"
"iPhone 11 Pro Max","only thing I didn't like was the length it took to get here. but love the phone"
"iPhone 11 Pro Max","Our iPhone 11 Pro Max we received was virtually flawless. The screen had no scratches, but the battery did require more charging. Nonetheless, the transferring of data/files was easy, as we took both phones to an AT&T store. All was done in less than 30 minutes. The part that took the longest was adding the Apple Watch to the new phone. The whole process took another 40 minutes. Overall, the entire experience was very positive. This is our 3rd phone purchase from the Renewed at Amazon, and have not had a bad experience thus far."
"iPhone 11 Pro Max","Fantastic quality phone out of the box. Thanks seller"
"iPhone 11 Pro Max","The media could not be loaded."
"iPhone 11 Pro Max","From the point I placed my order, the seller was straight forward with the order. I originally ordered a silver 11 pro max and that color was out of stock so the seller worked with me getting me a space grey model instead! Within hours, the order had been shipped out and I got it 2 days later. Extremely well packaged, the phone was on and ready to go with a full battery. Inserted my SIM card (for Verizon) and there were no issues, started right up on my network, no issues with the ESN (clean, not blacklisted). I’ve had it for roughly a week and a half and it works great! No issues, looks brand new, came with a third party charger and cable (not apple certified cube) and a sim port pin. I’d highly recommend this seller and would gladly order again!"
"iPhone 11 Pro Max","El teléfono estaba desbloqueado, batería 90%. Muy bueno."
"iPhone 11 Pro Max","It is great just it’s legit and is the exact thing that you pay for I was spectacle at first but once it arrived I was excited that I got what I expected I do suggest reading the description first because a lot of people made me get mixed emotions about buying this phone online. But overall it all worked out in the end and I’m happy so I definitely recommend buying."
"iPhone 11 Pro Max","🧐🧐🧐"
"iPhone 11 Pro Max","Funciona perfecto"
"iPhone 11 Pro Max","I was nervous to buy after seeing so many bad reviews , but the phone is great! Its in Excellent condition. I had a hard time finding any scuffs or marks i dont think i have any. Everything is as promised i just wish my battery health was higher than 82% otherwise it wouldve been a 5 star rating"
"iPhone 11 Pro Max","This was the renewed and not the renewed premium so I figured there may be superficial damage but I did not realize there would be a decent handful of micro scratches directly to the screen. I opened the box and was immediately disappointed. It looked like something I could have bought from a random guy in a mall food court rather than a refurbished phone. The scratches were not huge or deep but where very visible when the light hit them even at an arms length to everyone that looked at it. Requested the return a few minutes after opening the box and shipped it back the very next morning. I did get a quick refund with no real hassle but would have rather had a phone with a decent screen. I then ordered the renewed premium. The last two photos are what I ended up receiving where someone had put on a tape type protector that left a disgusting layer of thick sticky residue completely covering the touch screen. After about a solid two hours of cleaning and I finally had a clean phone but for being renewed premium that’s a bit ridiculous. No scratches obvious on the screen of the second phone and generally happy with the performance but the arrival appearance probably would have made me ship it back again if I was not stubborn to the core. It’s like Amazon wanted me to return both and go to Apple and to buy a brand new phone (which was the next step if I couldn’t get the screen clean on the second one)."
"iPhone 11 Pro Max","El celular se entregó en muy buenas condiciones, con muy leves señales de uso. Lo único en contra es que al parecer la pantalla que le cambiaron no es original, ya que en las configuraciones del dispositivo me lanza una alerta diciéndome que la pantalla no es original o no está bien instalada, por lo demás el dispositivo fue entregado como se anuncia."
"iPhone 11 Pro Max","The media could not be loaded.
 I bought this phone refurbished, but it came in good condition. Maybe one small scratch, but other than that, it was clean and well maintained. However, soon after I booted it up and transferred all my information and such, I got an alert that it couldn't be determined in the screen/display was a ""genuine Apple part."" I didn't think a lot of it, but the next day, my screen started flickering (orange/blue) and glitching. This has been happening for weeks now. There is hardly ever a second where the screen is on where it doesn't flicker orange. The only remedy is turning my brightness way down. Even that doesn't fix it because 1) I can't see the screen hardly and 2) I probably just can't SEE the flickering. Often, it'll get progressively more flicker-y until sometimes I see 'double' on the screen and it freezes. Like, I can't push any buttons or anything so I have I to turn it off and turn it back on. This doesn't actually fix the flickering but at least it un-freezes my phone (sometimes). This type of thing happens a minimum of 8 or so times a day. I suspect this is all to do with the alert about the display I got, but now I'm not sure because I no longer see the alert in settings.

Yes, I've tried restarting my phone. Yes, I've tried deleting apps that might be causing it to glitch. When I looked it up, I found that it may be due to some certain display settings being turned on, but I'm convinced it's not that. I'm pretty tech savvy and I've never seen this before.

Overall, it's a great phone, great camera etc. and worth your money. But, it's probably a better idea to buy new so you don't have to deal with any defective issues."
"iPhone 11 Pro Max"," I bought this phone refurbished, but it came in good condition. Maybe one small scratch, but other than that, it was clean and well maintained. However, soon after I booted it up and transferred all my information and such, I got an alert that it couldn't be determined in the screen/display was a ""genuine Apple part."" I didn't think a lot of it, but the next day, my screen started flickering (orange/blue) and glitching. This has been happening for weeks now. There is hardly ever a second where the screen is on where it doesn't flicker orange. The only remedy is turning my brightness way down. Even that doesn't fix it because 1) I can't see the screen hardly and 2) I probably just can't SEE the flickering. Often, it'll get progressively more flicker-y until sometimes I see 'double' on the screen and it freezes. Like, I can't push any buttons or anything so I have I to turn it off and turn it back on. This doesn't actually fix the flickering but at least it un-freezes my phone (sometimes). This type of thing happens a minimum of 8 or so times a day. I suspect this is all to do with the alert about the display I got, but now I'm not sure because I no longer see the alert in settings.

Yes, I've tried restarting my phone. Yes, I've tried deleting apps that might be causing it to glitch. When I looked it up, I found that it may be due to some certain display settings being turned on, but I'm convinced it's not that. I'm pretty tech savvy and I've never seen this before.

Overall, it's a great phone, great camera etc. and worth your money. But, it's probably a better idea to buy new so you don't have to deal with any defective issues."
"iPhone 11 Pro Max","I ordered the phone in the morning and it showed up at my house at 6pm! I was so surprised and happy.

I was kind of concerned with the reviews but the phone was such a good deal that I went for it anyway. It does have some very small scratches in the top right corner of the display like maybe some keys rubbed on it at some point in a bag - but when the screen is on you can’t see them at all. It doesn’t change the fact that this was a wonderful deal and the rest of the phone looks completely new. My battery is at 97% and has lasted for hours and hours. No issues there.

I guess my suggestion is that if you’re going to be nit picky about scratches or dents, don’t buy a used phone. I’m extremely happy for what I paid."
"iPhone 11 Pro Max","The media could not be loaded."
"iPhone 11 Pro Max","The phone came earlier than expected, I was excited to get it, didn't want to go out of town without a phone, so when it arrived early, I was happy...until I took the phone to my carrier to put a new sim card in it, that's when the sim card was rejected because the phone was not unlock or fully unlocked.Also, the iPhone did not look like the iPhone 11 Pro Max I bought, it looks smaller and not the size of the actual phone in the picture, the was nothing in the unmarked box the phone was in to even indicate that it was actually an iPhone 11 Pro Max they sent me.Am very disappointed, cause now I still don't have a phone...but I also have to go out of town without a phone, I tried to request a quick replacement since am travelling in one day, but they refuse and stated that I have to return the phone, then they will give me a refund but not another phone...SMFH!! So, I got the phone today and return it today. Now am waiting for my refund."
"iPhone 11 Pro Max","Perfect shape. The best experience buying refurbished phones, especially iPhones."
"iPhone 11 Pro Max","I ordered a renewed premium iPhone. Which I inspected in excellent condition as described but, the iPhone had many scratches around the edges.Phone is being returned"
"iPhone 11 Pro Max","I knew I was getting a renewed phone and couldn't expect a perfect phone but when it got here I noticed various scratches on the glass front screen and was wondering whether to return it or not. Fortunately nothing else was wrong with the phone, the camera lens was clean, the phone wasn't locked, the battery health was at around 95%. I decided to look for a glass screen protector and that solved the scratched screen as the new protector makes the scratches underneath not too noticeable. There have been no other problems since then and I am pleased with my purchase."
"iPhone 11 Pro Max","It didn’t come in the apple box and no apple sticker but the phone came crispy and it only has one thing wrong with it but it’s cool"
"iPhone 11 Pro Max","I loveddddd this product!The price was great and I only found a few scratches on the bottom of the phone. They’re barely noticeable and can be covered by any case. Even with this, the phone was in almost brand new condition with 80% battery charge and a super clear screen! Super happy!"
"iPhone 11 Pro Max","The product is good, has great battery life and It arrived very fast. The only thing is that it has a few signs of wear. It’s not a big deal though."
"iPhone 11 Pro Max","It’s a pretty good phone. Great quality when it comes to aesthetics. Battery is great too. However I have been facing a couple of problems recently. One problem is that it tends to get hot when browsing the web. The other problem is network connectivity. The Wi-Fi and the cellular data randomly cuts out for a random period of time. Hopeful the last one was just some fluke because I haven’t experienced it again after the first few times."
"iPhone 11 Pro Max","Everything has worked well so far on this I-Phone (after downloading my info from I-cloud) ... except ...! A warning that the phone itself is displaying (I have attached an image) saying that it's unable to determine if the display is a genuine Apple part... ! I am afraid this will give me problems later on ...!Is anybody else having this problem?? Can anybody from this company give me customer support?"
"iPhone 11 Pro Max","Cracks on front, speaker doesn’t work right constantly hangs up and no one can hear you on it. I was surprised to see it didn’t work as expected I was hoping it would"
"iPhone 11 Pro Max","I’ve had this phone for over 6 months. There’s never been a problem with the phone. The only thing is that the iCloud storage is not sufficient and you will most likely have to pay for GB every month. It recognizes my face even in the dark. The battery lasts longer than a day if I’m not on it streaming. It charges really quickly. My phone hasn’t overheated at all. Although when it’s charging I don’t get on my phone. If connecting aux cord, you need adapter cause box doesn't come with one. Camera quality is good especially if you’re switching from android."
"iPhone 11 Pro Max","Woudl buy again. Love making payments."
"iPhone 11 Pro Max","I’d recommend buying an Amazon Renewed phone and will buy one again in the future. It’s like a new phone! It’s much faster than my iPhone 8 Plus. I just won’t spend $1,099 on the newest phone (iPhone 13 Pro Max) from Apple and this is a great option to upgrade to a “new” phone! Plus, I bought the two year insurance on it in case something happens."
"iPhone 11 Pro Max","I love my iPhone 11 p r o max I was worried about buying a reconditioned iPhone like new well it is like new I bought it sold and shipped from Amazon very happy with it ."
"iPhone 11 Pro Max","This is my review of the 512GB iPhone 11 Pro Max from Buyspry. I got this phone exactly 3 days ago.Your mileage may vary since these are refurbished phones however I did do some digging on this company and the seller had a great eBay reputation and no dings on BBB so I decided for this price and the Amazon backed 90 day money back, I had nothing to lose. I personally didn’t care if this phone came with a few scratches and nicks to the body, it would be going in a case anyway. The phone however arrived in a nice little box and procreated very well. The presentation was very decent. The phone was in immaculate condition and I couldn’t really find anything wrong aesthetically. The shipping did take a week but I’ll chalk that up to amazons storehouse and the recent icy weather. During my 3 days of use I have noticed no abnormalities and everything functions great. If there is a downside it’s the battery life. It’s at 90%. Obviously I would want it to be at 100% but at this price I’ll gladly take it. If you look at amazons refurbishing details it also lets you know that the battery’s are only guranteed to be over 80% life, so that is something to note, however battery’s aren’t too expensive and since this is an upgrade over my iPhone X even at 10% less battery life it still lasts several hours more easily. Overall I’m extremely pleased with my purchase and am so glad I got this for this price. Hope someone finds this info useful"
"iPhone 11 Pro Max","Very good aspect, signs of usage and 87% battery health"
"iPhone 11 Pro Max","I love my (like) new iPhone. I did a lot of research looking for the best deal and this was a pretty good. I’ve had this phone for a few months now and haven’t had any problems. The battery life is great! I recommend this seller."
"iPhone 11 Pro Max","Battery wasn’t replaced in service mode excellent cosmetic,but old battery"
"iPhone 11 Pro Max","Phone is in excellent condition. Would not recognize that it is renewed. No scratches. Nothing. Worth the dollars."
"iPhone 11 Pro Max","El celular funciona regularmente bien, el sensor de proximidad no estaba funcionando bien pero no era mayor problema…. La batería estaba consumida pero definitivamente creo es la mejor batería que hecho iPhone dura todoooo el día, no recomiendo celulares usados por ese precio deberían costar menos ya que siempre viene con problemas los cuales result caro solucionarlos al menos en Ecuador"
"iPhone 11 Pro Max","This phone arrived quickly and it is as described. It looks to be in excellent condition other than the battery life. 🙂"
"iPhone 11 Pro Max","I was really excited about receiving this phone as it’s my first upgrade in 6 years. Everything from the condition of the phone to installation was great, until I checked the battery’s health and found out that it wasn’t a genuine Apple battery installed. On top of that, the phone became extremely hot as I was charging it. I’m giving this 2 stars because at least the phone arrived in pristine condition, which makes this even more disappointing. Minus 3 stars because of the aftermarket battery that was installed."
"iPhone 11 Pro Max","The iPhone came earlier than I expected and with excellent working condition."
"iPhone 11 Pro Max","I was somewhat nervous about buying a used iPhone, but could not justify the price of a new one. The 11 is the last major upgrade -- new chip, pro max, etc. Improvements to the later models are only incremental. So it was the perfect choice for me. I bought mine from Amazon because -- Amazon. And I opted for the renewed premium model. Mine came without a scratch anywhere and 90% on the battery. I am a happy camper."
